Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL
"
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"200 MED CENTER DRIVE
FORT PAYNE, AL
"
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"209 NORTH MAIN STREET
WEDOWEE, AL
"
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,HALE,3346243024,Acute Care Hospitals,Government - Local,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"508 GREEN STREET
GREENSBORO, AL
"
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,2568823100,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"ONE HOSPITAL DR SE
HUNTSVILLE, AL
"
11304,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,CHOCTAW,2054599100,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,"401 VANITY FAIR LANE, PO BOX 618
BUTLER, AL
"
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,BETHEL,9075436300,Acute Care Hospitals,Tribal,TRUE,TRUE,3,This hospitalÂ’s star rating only includes data reported on inpatient services,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 287
BETHEL, AK
"
21308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,NOME,9074433311,Critical Access Hospitals,Tribal,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"1000 GREG KRUSCHEK AVENUE (P O BOX 966)
NOME, AK
"
21309,KANAKANAK HOSPITAL,P O BOX 130,DILLINGHAM,AK,99576,DILLINGHAM,9078425201,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"P O BOX 130
DILLINGHAM, AK
"
21310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,9074423321,Critical Access Hospitals,Tribal,TRUE,TRUE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"PO BOX 43
KOTZEBUE, AK
"
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 649
FORT DEFIANCE, AZ
"
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,TRUE,3,This hospitalÂ’s star rating only includes data reported on inpatient services,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 600
TUBA CITY, AZ
"
30074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,PIMA,5203627003,Acute Care Hospitals,Tribal,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"HIGHWAY 86, AT TOPAWA ROAD
SELLS, AZ
"
30077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Acute Care Hospitals,Government - Federal,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"103 MEDICINE WAY ROAD
PERIDOT, AZ
"
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,9286747001,Acute Care Hospitals,Government - Federal,TRUE,TRUE,3,This hospitalÂ’s star rating only includes data reported on inpatient services,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"US HWY 191, HOSPITAL ROAD
CHINLE, AZ
"
31305,HOPI HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,NAVAJO,9287376000,Critical Access Hospitals,Tribal,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"HIGHWAY 264, MILEPOST 388
POLACCA, AZ
"
31308,HUHU KAM MEMORIAL HOSPITAL,483 WEST SEED FARM ROAD,SACATON,AZ,85147,PINAL,5205623321,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"483 WEST SEED FARM ROAD
SACATON, AZ
"
31309,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,APACHE,9287554541,Critical Access Hospitals,Voluntary non-profit - Private,FALSE,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,"STATE ROUTE 264 SOUTH 191
GANADO, AZ
"
40007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,PULASKI,5015523000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"TWO ST VINCENT CIRCLE
LITTLE ROCK, AR
"
40018,SPARKS MEDICAL CENTER - VAN BUREN,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956,CRAWFORD,4794743401,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,"EAST MAIN AND SOUTH 20TH STREET
VAN BUREN, AR
"
40050,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,OUACHITA,8708361000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"638 CALIFORNIA AVENUE
CAMDEN, AR
"
40154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,1555 EXCHANGE AVENUE,CONWAY,AR,72032,FAULKNER,5015852000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"1555 EXCHANGE AVENUE
CONWAY, AR
"
41324,CHI ST VINCENT MORRILTON,#4 HOSPITAL DRIVE,MORRILTON,AR,72110,CONWAY,5019772300,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"#4 HOSPITAL DRIVE
MORRILTON, AR
"
41328,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,CHICOT,8702655351,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"2729 SOUTH HIGHWAY 65 &amp; 82
LAKE VILLAGE, AR
"
50054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA
"
50103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1720 E CESAR AVENUE
LOS ANGELES, CA
"
50138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,3237834011,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,This hospitalÂ’s star rating only includes data reported on inpatient services,Not Available,Results are not available for this reporting period,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"4867 SUNSET BLVD
LOS ANGELES, CA
"
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,MONTEREY,CA,93940,MONTEREY,8316245311,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"23625 W R HOLMAN HIGHWAY
MONTEREY, CA
"
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"ONE HOAG DRIVE
NEWPORT BEACH, CA
"
50280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA
"
50309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,9167811000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"ONE MEDICAL PLAZA
ROSEVILLE, CA
"
50488,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,5105371234,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"20103 LAKE CHABOT ROAD
CASTRO VALLEY, CA
"
50547,SONOMA DEVELOPMENTAL CENTER,15000 ARNOLD DRIVE   /  P O BOX 1493,ELDRIDGE,CA,95431,SONOMA,7079386000,Acute Care Hospitals,Government - Federal,FALSE,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"15000 ARNOLD DRIVE / P O BOX 1493
ELDRIDGE, CA
"
50567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,9493641400,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,"27700 MEDICAL CENTER RD
MISSION VIEJO, CA
"
50684,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL B0ULEVARD,SUN CITY,CA,92585,RIVERSIDE,9516798888,Acute Care Hospitals,Physician,FALSE,TRUE,2,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period,"28400 MCCALL B0ULEVARD
SUN CITY, CA
"
50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,5624017022,Acute Care Hospitals,Government - Local,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"7601 EAST IMPERIAL HIGHWAY
DOWNEY, CA
"
51310,FRANK R HOWARD MEMORIAL HOSPITAL,1 MARCELA DR,WILLITS,CA,95490,MENDOCINO,7074563031,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,This hospitalÂ’s star rating only includes data reported on inpatient services,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"1 MARCELA DR
WILLITS, CA
"
51317,ST HELENA HOSPITAL-CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,LAKE,7079946486,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,This hospitalÂ’s star rating only includes data reported on inpatient services,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"15630 18TH AVE - HWY 53
CLEARLAKE, CA
"
53302,CHILDREN'S HOSP OF LOS ANGELES,4650 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,3236692164,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"4650 SUNSET BLVD
LOS ANGELES, CA
"
53306,CHILDREN'S HOSPITAL AT MISSION,"27700 MEDICAL CENTER RD, 5TH FLOOR",MISSION VIEJO,CA,92691,ORANGE,9493652408,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"27700 MEDICAL CENTER RD, 5TH FLOOR
MISSION VIEJO, CA
"
61325,PIONEERS MEDICAL CENTER,100 PIONEERS MEDICAL CENTER DRIVE,MEEKER,CO,81641,RIO BLANCO,9708785047,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"100 PIONEERS MEDICAL CENTER DRIVE
MEEKER, CO
"
61326,PIKES PEAK REGIONAL HOSPITAL,16420 HIGHWAY 24,WOODLAND PARK,CO,80863,TELLER,7196879999,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"16420 HIGHWAY 24
WOODLAND PARK, CO
"
70006,STAMFORD HOSPITAL,ONE HOSPITAL PLAZA,STAMFORD,CT,6904,FAIRFIELD,2032761000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"ONE HOSPITAL PLAZA
STAMFORD, CT
"
70029,BRISTOL HOSPITAL,BREWSTER RD,BRISTOL,CT,6010,HARTFORD,8605853000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"BREWSTER RD
BRISTOL, CT
"
80003,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,WILMINGTON,DE,19805,NEW CASTLE,3024214100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"7TH AND CLAYTON STS
WILMINGTON, DE
"
100054,TWIN CITIES HOSPITAL,2190 HWY 85 N,NICEVILLE,FL,32578,OKALOOSA,8506784131,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"2190 HWY 85 N
NICEVILLE, FL
"
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,40100 US HWY 27 N,DAVENPORT,FL,33837,POLK,8634224971,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"40100 US HWY 27 N
DAVENPORT, FL
"
100183,CORAL GABLES HOSPITAL,3100 DOUGLAS RD,CORAL GABLES,FL,33134,MIAMI-DADE,3054458461,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"3100 DOUGLAS RD
CORAL GABLES, FL
"
