Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,6500 NEWBERRY RD,GAINESVILLE,FL,32605,ALACHUA,3523334100,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,"6500 NEWBERRY RD
GAINESVILLE, FL
"
100209,KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,MIAMI,FL,33175,MIAMI-DADE,3052233000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"11750 BIRD RD
MIAMI, FL
"
100244,CAPE CORAL HOSPITAL,636 DEL PRADO BLVD,CAPE CORAL,FL,33990,LEE,2395742323,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,"636 DEL PRADO BLVD
CAPE CORAL, FL
"
21301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,AK,99686,,9078352249,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 550
VALDEZ, AK
"
21304,PETERSBURG MEDICAL CENTER, PO BOX 589,PETERSBURG,AK,99833,,9077724291,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 589
PETERSBURG, AK
"
21307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,,9074248000,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 160 - 602 CHASE AVENUE
CORDOVA, AK
"
110030,CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,CARTERSVILLE,GA,30120,BARTOW,7703878182,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"960 JOE FRANK HARRIS PARKWAY
CARTERSVILLE, GA
"
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,915 GORDON AVENUE & MIMOSA DRIVE,THOMASVILLE,GA,31792,THOMAS,2292282880,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,"915 GORDON AVENUE &amp; MIMOSA DRIVE
THOMASVILLE, GA
"
110041,HABERSHAM COUNTY MEDICAL CTR,541 HISTORIC HIGHWAY 441-NORTH,DEMOREST,GA,30535,HABERSHAM,7067542161,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"541 HISTORIC HIGHWAY 441-NORTH
DEMOREST, GA
"
110128,MEADOWS REGIONAL MEDICAL CENTER,ONE MEADOWS PARKWAY,VIDALIA,GA,30474,TOOMBS,9125355828,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,"ONE MEADOWS PARKWAY
VIDALIA, GA
"
111313,PUTNAM GENERAL HOSPITAL,101 LAKE OCONEE PARKWAY,EATONTON,GA,31024,PUTNAM,7064852711,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"101 LAKE OCONEE PARKWAY
EATONTON, GA
"
111335,LIBERTY REGIONAL MEDICAL CENTER,462 E G MILES PARKWAY,HINESVILLE,GA,31310,LIBERTY,9123699438,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"462 E G MILES PARKWAY
HINESVILLE, GA
"
113301,CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE,1001 JOHNSON FERRY ROAD,ATLANTA,GA,30342,FULTON,4047855252,Childrens,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"1001 JOHNSON FERRY ROAD
ATLANTA, GA
"
120028,NORTH HAWAII COMMUNITY HOSPITAL,67 1125 MAMALAHOA HIGHWAY,KAMUELA,HI,96743,HAWAII,8088854444,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"67 1125 MAMALAHOA HIGHWAY
KAMUELA, HI
"
130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,1512 TWELFTH AVENUE ROAD,NAMPA,ID,83686,CANYON,2084635000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1512 TWELFTH AVENUE ROAD
NAMPA, ID
"
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON,JOLIET,IL,60435,WILL,8157257133,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,"333 N MADISON
JOLIET, IL
"
131323,ST LUKE'S WOOD RIVER MEDICAL CENTER,100 HOSPITAL DRIVE,KETCHUM,ID,83340,BLAINE,2087278800,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"100 HOSPITAL DRIVE
KETCHUM, ID
"
140002,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002,MADISON,6184637300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"ONE MEMORIAL DRIVE
ALTON, IL
"
140015,BLESSING HOSPITAL,BROADWAY AT 11TH STREET,QUINCY,IL,62301,ADAMS,2172235811,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"BROADWAY AT 11TH STREET
QUINCY, IL
"
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,7732576751,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"15TH STREET AT CALIFORNIA
CHICAGO, IL
"
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,MADISON,6184652571,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"ST ANTHONY'S WAY
ALTON, IL
"
140118,METROSOUTH MEDICAL CENTER,12935 S GREGORY,BLUE ISLAND,IL,60406,COOK,7085972000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"12935 S GREGORY
BLUE ISLAND, IL
"
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,COOK,7083332300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"ONE INGALLS DRIVE
HARVEY, IL
"
140210,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946,SALINE,6182537671,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,"100 DOCTOR WARREN TUTTLE DR
HARRISBURG, IL
"
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,COOK,8474375500,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,"800 W BIESTERFIELD RD
ELK GROVE VILLAGE, IL
"
140286,KISHWAUKEE COMMUNITY HOSPITAL,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115,DEKALB,8157561521,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,"ONE KISH HOSPITAL DRIVE
DEKALB, IL
"
141302,MIDWEST MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,GALENA,IL,61036,JO DAVIESS,8157771340,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"ONE MEDICAL CENTER DRIVE
GALENA, IL
"
141306,COMMUNITY MEMORIAL HOSPITAL,400 CALDWELL,STAUNTON,IL,62088,MACOUPIN,6186352200,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"400 CALDWELL
STAUNTON, IL
"
141328,HARDIN COUNTY GENERAL HOSPITAL,FERRELL ROAD,ROSICLARE,IL,62982,HARDIN,6182856634,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"FERRELL ROAD
ROSICLARE, IL
"
141346,FAYETTE COUNTY HOSPITAL,7TH AND TAYLOR,VANDALIA,IL,62471,FAYETTE,6182831231,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"7TH AND TAYLOR
VANDALIA, IL
"
141349,SPARTA COMMUNITY HOSPITAL,818 E BROADWAY,SPARTA,IL,62286,RANDOLPH,6184432177,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"818 E BROADWAY
SPARTA, IL
"
143300,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,"225 E CHICAGO, BOX 57",CHICAGO,IL,60611,COOK,7738804000,Childrens,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"225 E CHICAGO, BOX 57
CHICAGO, IL
"
143301,LARABIDA CHILDRENS HOSPITAL I,E 65TH ST AT LAKE MICHIGAN,CHICAGO,IL,60649,COOK,7733636700,Childrens,Voluntary non-profit - Private,FALSE,TRUE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"E 65TH ST AT LAKE MICHIGAN
CHICAGO, IL
"
150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,JEFFERSON,8128010105,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1373 EAST SR 62
MADISON, IN
"
150089,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,2401 UNIVERSITY AVE,MUNCIE,IN,47303,DELAWARE,7657473111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"2401 UNIVERSITY AVE
MUNCIE, IN
"
150128,COMMUNITY HOSPITAL SOUTH,1402 E COUNTY LINE RD S,INDIANAPOLIS,IN,46227,MARION,3178877000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,"1402 E COUNTY LINE RD S
INDIANAPOLIS, IN
"
160089,OTTUMWA REGIONAL HEALTH CENTER,1001 E PENNSYLVANIA,OTTUMWA,IA,52501,WAPELLO,6416827511,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Below the national average,,"1001 E PENNSYLVANIA
OTTUMWA, IA
"
161377,MERCY MEDICAL CENTER-CENTERVILLE,ONE ST JOSEPH'S DRIVE,CENTERVILLE,IA,52544,APPANOOSE,6414374111,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,This hospitalÂ’s star rating only includes data reported on inpatient services,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"ONE ST JOSEPH'S DRIVE
CENTERVILLE, IA
"
170166,MORTON COUNTY HOSPITAL,445 N HILLTOP,ELKHART,KS,67950,MORTON,6206972141,Acute Care Hospitals,Government - Local,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,"445 N HILLTOP
ELKHART, KS
"
171303,LANE COUNTY HOSPITAL,235 WEST VINE  PO BOX 969,DIGHTON,KS,67839,LANE,6203975321,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"235 WEST VINE PO BOX 969
DIGHTON, KS
"
171312,COMANCHE COUNTY HOSPITAL,2ND & FRISCO STREET,COLDWATER,KS,67029,COMANCHE,6205822144,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"2ND &amp; FRISCO STREET
COLDWATER, KS
"
171318,SEDAN CITY HOSPITAL,300 NORTH STREET,SEDAN,KS,67361,CHAUTAUQUA,6207253115,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"300 NORTH STREET
SEDAN, KS
"
171322,HAMILTON COUNTY HOSPITAL,700 NORTH HUSER,SYRACUSE,KS,67878,HAMILTON,6203847461,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"700 NORTH HUSER
SYRACUSE, KS
"
171324,SATANTA DISTRICT HOSPITAL,CHEYENNE & APACHE,SATANTA,KS,67870,HASKELL,6206492761,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"CHEYENNE &amp; APACHE
SATANTA, KS
"
171338,SABETHA COMMUNITY HOSPITAL,14TH & OREGON,SABETHA,KS,66534,NEMAHA,7852842121,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,"14TH &amp; OREGON
SABETHA, KS
"
171344,WILSON MEDICAL CENTER,REECE CAMPUS 2600 OTTAWA ROAD,NEODESHA,KS,66757,WILSON,6203258369,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Not Available,Results are not available for this reporting period,"REECE CAMPUS 2600 OTTAWA ROAD
NEODESHA, KS
"
171356,ST LUKE HOSPITAL & LIVING CENTER,535 SOUTH FREEBRON,MARION,KS,66861,MARION,6203822177,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"535 SOUTH FREEBRON
MARION, KS
"
171373,ALLEN COUNTY REGIONAL HOSPITAL,3066 NORTH KENTUCKY STREET,IOLA,KS,66749,ALLEN,6203651021,Critical Access Hospitals,Government - State,TRUE,TRUE,2,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Above the national average,,Same as the national average,,"3066 NORTH KENTUCKY STREET
IOLA, KS
"
171382,ATCHISON HOSPITAL,800 RAVIN HILL DRIVE,ATCHISON,KS,66002,ATCHISON,9133605581,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,This hospitalÂ’s star rating only includes data reported on inpatient services,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"800 RAVIN HILL DRIVE
ATCHISON, KS
"
180010,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,FAYETTE,8593131000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"ONE SAINT JOSEPH DRIVE
LEXINGTON, KY
"
180079,HARRISON MEMORIAL HOSPITAL,1210 KY HWY 36 E,CYNTHIANA,KY,41031,HARRISON,8592342300,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1210 KY HWY 36 E
CYNTHIANA, KY
"
